Disease,Specialist_1,Specialist_2,Specialist_3,Specialist_4,Specialist_5,Specialist_6,Specialist_7,Specialist_8,Specialist_9,Specialist_10,Specialist_11,Specialist_12,Specialist_13,Specialist_14,Specialist_15,Specialist_16,Specialist_17,Specialist_18,Specialist_19,Specialist_20,Specialist_21,Specialist_22,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,Symptom_29,Symptom_30,Symptom_31,Symptom_32,Symptom_33,Symptom_34,Symptom_35,Symptom_36,Symptom_37,Symptom_38,Symptom_39,Symptom_40,Symptom_41,Symptom_42,Symptom_43,Symptom_44,Symptom_45,Symptom_46,Symptom_47,Symptom_48,Symptom_49,Symptom_50,Symptom_51,Symptom_52,Symptom_53,Symptom_54,Symptom_55,Symptom_56,Symptom_57,Symptom_58,Symptom_59,Symptom_60,Symptom_61,Symptom_62,Symptom_63,Symptom_64,Symptom_65,Symptom_66,Symptom_67,Symptom_68,Symptom_69,Symptom_70,Symptom_71,Symptom_72,Symptom_73,Symptom_74,Symptom_75,Symptom_76
rheumatoid arthritis,Rheumatologist,Orthopedic Surgeon,Oral and Maxillofacial Surgeon,Hand Surgeon,,,,,,,,,,,,,,,,,,,joint pain,knee pain,ache all over,hand or finger pain,wrist pain,peripheral edema,hand or finger swelling,joint swelling,hand or finger weakness,elbow swelling,wrist swelling,stiffness all over,"tender, warm, swollen joints",joint stiffness that is usually worse in the mornings and after inactivity,"fatigue, fever and loss of appetite",skin,eyes,lungs,heart,kidneys,salivary glands,nerve tissue,bone marrow,blood vessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuberculosis,Infectious Disease Specialist,Critical Care Specialist,Pulmonologist,Sleep Medicine Specialist,,,,,,,,,,,,,,,,,,,cough,shortness of breath,sweating,congestion in chest,hemoptysis,skin dryness,peeling,scaliness,or roughness,drainage in throat,hurts to breath,itchiness of eye,back cramps or spasms,vaginal itching,chills,vomiting,fatigue,weight loss,high fever,breathlessness,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum,"latent tuberculosis(tb) - you have a tuberculosis(tb) infection, but the bacteria in your body are inactive and cause no symptoms; latent tuberculosis(tb), also called inactive tuberculosis(tb) or tuberculosis(tb) infection, isn't contagious; latent tuberculosis(tb) can turn into active tuberculosis(tb), so treatment is important","active tuberculosis(tb) - also called tuberculosis(tb) disease, this condition makes you sick and, in most cases, can spread to others; it can occur weeks or years after infection with the tuberculosis(tb) bacteria",coughing for three or more weeks,coughing up blood or mucus,"chest pain, or pain with breathing or coughing",unintentional weight loss,fever,night sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatitis,Gastroenterologist,Hepatobiliary and Pancreas Surgeon,General Surgeon,Critical Care Specialist,,,,,,,,,,,,,,,,,,,vomiting,pain abdominal,nausea,pain,diarrhea,stool color yellow,rigor - temperature-associated observation,apyrexial,sore to touch,upper abdominal pain,abdominal pain that radiates to your back,tenderness when touching the abdomen,fever,rapid pulse,abdominal pain that feels worse after eating,losing weight without trying,"oily, smelly stools (steatorrhea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urinary tract infection,Urologist,Pediatric Nephrologist,Pediatric Infectious Disease Specialist,Family Physician,Infectious Disease Specialist,,,,,,,,,,,,,,,,,,painful urination,suprapubic pain,sharp abdominal pain,frequent urination,fever,vomiting,back pain,nausea,blood in urine,side pain,retention of urine,lower abdominal pain,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,"a strong, persistent urge to urinate",a burning sensation when urinating,"passing frequent, small amounts of urine",urine that appears cloudy,"urine that appears red, bright pink or cola-colored - a sign of blood in the urine",strong-smelling urine,"pelvic pain, in women - especially in the center of the pelvis and around the area of the pubic bone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gout,Rheumatologist,Hospitalist,Family Physician,Bariatrician,,,,,,,,,,,,,,,,,,,hot flush,pain,redness,swelling,erythema,emphysematous change,sore to touch,hypokinesia,ascites,patient non compliance,foot or toe pain,knee pain,foot or toe swelling,ankle pain,wrist pain,hand or finger pain,hand or finger swelling,joint pain,ankle swelling,knee swelling,leg swelling,wrist swelling,"intense joint pain - gout usually affects the big toe, but it can occur in any joint; other commonly affected joints include the ankles, knees, elbows, wrists and fingers; the pain is likely to be most severe within the first four to 12 hours after it begins","lingering discomfort - after the most severe pain subsides, some joint discomfort may last from a few days to a few weeks; later attacks are likely to last longer and affect more joints","inflammation and redness - the affected joint or joints become swollen, tender, warm and red","limited range of motion - as gout progresses, you may not be able to move your joints normally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritable bowel syndrome,Gastroenterologist,Pediatric Surgeon,,,,,,,,,,,,,,,,,,,,,sharp abdominal pain,diarrhea,burning abdominal pain,constipation,nausea,anxiety and nervousness,lower abdominal pain,upper abdominal pain,regurgitation,insomnia,rectal bleeding,flatulence,"abdominal pain, cramping or bloating that is related to passing a bowel movement",changes in appearance of bowel movement,changes in how often you are having a bowel movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psoriasis,Dermatologist,,,,,,,,,,,,,,,,,,,,,,skin rash,itching of skin,skin dryness,peeling,scaliness,or roughness,skin lesion,abnormal appearing skin,itchy scalp,irregular appearing scalp,joint pain,skin moles,skin growth,skin swelling,acne or pimples,skin peeling,silver like dusting,small dents in nails,inflammatory nails,"red patches of skin covered with thick, silvery scales",small scaling spots (commonly seen in children),"dry, cracked skin that may bleed or itch","itching, burning or soreness","thickened, pitted or ridged nails",swollen and stiff joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alzheimer's disease,Neurologist,,,,,,,,,,,,,,,,,,,,,,drool,agitation,nightmare,rhonchus,consciousness clear,pin-point pupils,bedridden,frail,tremor resting,hyperkalemia,facial paresis,groggy,muscle twitch,wheelchair bound,tremor,cough,fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibromyalgia,Rheumatologist,Internist,,,,,,,,,,,,,,,,,,,,,back pain,ache all over,neck pain,muscle pain,leg pain,headache,shoulder pain,low back pain,sharp chest pain,arm pain,hip pain,fatigue,"widespread pain - the pain associated with fibromyalgia often is described as a constant dull ache that has lasted for at least three months; to be considered widespread, the pain must occur on both sides of your body and above and below your waist","fatigue - people with fibromyalgia often awaken tired, even though they report sleeping for long periods of time; sleep is often disrupted by pain, and many patients with fibromyalgia have other sleep disorders, such as restless legs syndrome and sleep apnea","cognitive difficulties - a symptom commonly referred to as ""fibro fog"" impairs the ability to focus, pay attention and concentrate on mental tasks",irritable bowel syndrome,chronic fatigue syndrome,migraine and other types of headaches,interstitial cystitis or painful bladder syndrome,temporomandibular joint disorders,anxiety,depression,postural tachycardia syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celiac disease,Gastroenterologist,Pediatric Gastroenterologist,Pediatrician,Internist,,,,,,,,,,,,,,,,,,,sharp abdominal pain,diarrhea,regurgitation,fatigue,vomiting,nausea,allergic reaction,sharp chest pain,fears and phobias,peripheral edema,leg lump or mass,constipation,weight loss,bloating and gas,abdominal pain,nausea and vomiting,"anemia, usually from iron deficiency",loss of bone density (osteoporosis) or softening of bone (osteomalacia),"itchy, blistery skin rash (dermatitis herpetiformis)",mouth ulcers,headaches and fatigue,"nervous system injury, including numbness and tingling in the feet and hands, possible problems with balance, and cognitive impairment",joint pain,reduced functioning of the spleen (hyposplenism),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrial fibrillation,Cardiologist,Cardiothoracic Surgeon,Cardiac Electrophysiologist,Cardiovascular Surgeon,Neurologist,Interventional Cardiologist,,,,,,,,,,,,,,,,,shortness of breath,sharp chest pain,palpitations,dizziness,irregular heartbeat,fatigue,increased heart rate,decreased heart rate,"sensations of a fast, fluttering or pounding heartbeat (palpitations)",chest pain,lightheadedness,reduced ability to exercise,weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy,Neurologist,Neurosurgeon,Psychologist,Radiologist,,,,,,,,,,,,,,,,,,,seizure,hypometabolism,aura,muscle twitch,drowsiness,tremor,unresponsiveness,hemiplegia,myoclonus,gurgle,sleepy,lethargy,wheelchair bound,seizures,headache,abnormal involuntary movements,disturbance of memory,difficulty speaking,lack of growth,stiffness all over,eye moves abnormally,muscle weakness,temporary confusion,a staring spell,stiff muscles,uncontrollable jerking movements of the arms and legs,loss of consciousness or awareness,"psychological symptoms such as fear, anxiety or deja vu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiple sclerosis,Neurologist,Physiatrist,Psychologist,Neuropsychologist,Pediatric Urologist,,,,,,,,,,,,,,,,,,fatigue,loss of sensation,headache,dizziness,problems with movement,weakness,leg weakness,paresthesia,disturbance of memory,abnormal involuntary movements,leg stiffness or tightness,focal weakness,"numbness or weakness in one or more limbs that typically occurs on one side of your body at a time, or your legs and trunk","electric-shock sensations that occur with certain neck movements, especially bending the neck forward (lhermitte sign)","tremor, lack of coordination or unsteady gait","partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement",prolonged double vision,blurry vision,slurred speech,tingling or pain in parts of your body,"problems with sexual, bowel and bladder function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crohn disease,Gastroenterologist,,,,,,,,,,,,,,,,,,,,,,sharp abdominal pain,diarrhea,vomiting,nausea,burning abdominal pain,blood in stool,rectal bleeding,pain of the anus,joint pain,stomach bloating,heartburn,regurgitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lupus,Pediatric Rheumatologist,Rheumatologist,Dermatologist,,,,,,,,,,,,,,,,,,,,fatigue,fever,"joint pain, stiffness and swelling",butterfly-shaped rash on the face that covers the cheeks and bridge of the nose or rashes elsewhere on the body,skin lesions that appear or worsen with sun exposure,fingers and toes that turn white or blue when exposed to cold or during stressful periods,shortness of breath,chest pain,dry eyes,"headaches, confusion and memory loss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endometriosis,Obstetrician,Gynecologist,Gynecologic Oncologist,,,,,,,,,,,,,,,,,,,,pelvic pain,sharp abdominal pain,lower abdominal pain,painful menstruation,heavy menstrual flow,burning abdominal pain,infertility,intermenstrual bleeding,hot flashes,absence of menstruation,vaginal pain,chills,painful periods (dysmenorrhea) - pelvic pain and cramping may begin before and extend several days into a menstrual period; you may also have lower back and abdominal pain,pain with intercourse - pain during or after sex is common with endometriosis,pain with bowel movements or urination - you're most likely to experience these symptoms during a menstrual period,excessive bleeding - you may experience occasional heavy menstrual periods or bleeding between periods (intermenstrual bleeding),"infertility - sometimes, endometriosis is first diagnosed in those seeking treatment for infertility","other signs and symptoms - you may experience fatigue, diarrhea, constipation, bloating or nausea, especially during menstrual periods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcos,Endocrinologist,Gynecologist,,,,,,,,,,,,,,,,,,,,,infertility,unpredictable menstruation,weight gain,pelvic pain,absence of menstruation,heavy menstrual flow,intermenstrual bleeding,long menstrual periods,painful menstruation,cramps and spasms,hot flashes,acne or pimples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carpal tunnel syndrome,Physiatrist,Orthopedic Surgeon,Neurosurgeon,Sports Medicine Specialist,Hand Surgeon,,,,,,,,,,,,,,,,,,loss of sensation,hand or finger pain,wrist pain,paresthesia,arm pain,neck pain,hand or finger weakness,elbow pain,hand or finger stiffness or tightness,hand or finger swelling,arm weakness,wrist swelling,"tingling or numbness - you may notice tingling and numbness in the fingers or hand; usually the thumb and index, middle or ring fingers are affected, but not the little finger; you might feel a sensation like an electric shock in these fingersthe sensation may travel from the wrist up the arm; these symptoms often occur while holding a steering wheel, phone or newspaper, or may wake you from sleepmany people ""shake out"" their hands to try to relieve their symptoms; the numb feeling may become constant over time","weakness - you may experience weakness in the hand and drop objects; this may be due to the numbness in the hand or weakness of the thumb's pinching muscles, which are also controlled by the median nerve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shingles,Primary Care Physician,Dermatologist,,,,,,,,,,,,,,,,,,,,,"pain, burning, numbness or tingling",sensitivity to touch,a red rash that begins a few days after the pain,fluid-filled blisters that break open and crust over,itching,fever,headache,sensitivity to light,fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lyme disease,Rheumatologist,Infectious Disease Specialist,,,,,,,,,,,,,,,,,,,,,fever,skin rash,headache,fatigue,abnormal appearing skin,loss of sensation,depressive or psychotic symptoms,joint pain,chills,hip pain,hand or finger pain,symptoms of the face,"flat, circular rash anywhere on your body",joint pain and swelling,muscle aches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iron deficiency anemia,Hematologist,,,,,,,,,,,,,,,,,,,,,,fatigue,weakness,dizziness,heavy menstrual flow,rectal bleeding,blood in stool,weight gain,melena,heartburn,regurgitation,intermenstrual bleeding,absence of menstruation,extreme fatigue,pale skin,"chest pain, fast heartbeat or shortness of breath","headache, dizziness or lightheadedness",cold hands and feet,inflammation or soreness of your tongue,brittle nails,"unusual cravings for non-nutritive substances, such as ice, dirt or starch","poor appetite, especially in infants and children with iron deficiency anemia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concussion,Family Physician,General Practitioner,PM&R Physician,Physiatrist,Sports Medicine Specialist,Pediatric Physiatrist,Neurologist,Psychologist,Pediatric Sports Medicine Specialist,Pediatrician,,,,,,,,,,,,,headache,dizziness,neck pain,vomiting,disturbance of memory,nausea,back pain,facial pain,sleepiness,rib pain,double vision,difficulty speaking,ringing in the ears,fatigue or drowsiness,blurry vision,confusion or feeling as if in a fog,amnesia surrounding the traumatic event,"dizziness or ""seeing stars""",temporary loss of consciousness (though this doesn't always occur),slurred speech,delayed response to questions,dazed appearance,"forgetfulness, such as repeatedly asking the same question",concentration and memory complaints,irritability and other personality changes,sensitivity to light and noise,sleep disturbances,psychological adjustment problems and depression,disorders of taste and smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
